ID,Detail,Cause,Result
19230514-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19270822-0,Airframe failure;Tail failure;Loss of control,AIRPLANE,Loss of control
19290516-0,Airframe failure;Tail failure;Loss of control,AIRPLANE,Loss of control
19340727-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19340922-0,Airframe failure;Tail failure;Loss of control,AIRPLANE,Loss of control
19380110-0,Airframe failure;Tail failure;Loss of control,AIRPLANE,Loss of control
19390318-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19420305-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19421215-1,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19430131-0,Airframe failure;Tail failure;Icing;Loss of control,AIRPLANE;WEATHER,Loss of control
19430802-2,Airframe failure;Thunderstorm;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19431116-1,Airframe failure;Loss of control,AIRPLANE,Loss of control
19440207-1,Airframe failure;Loss of control,AIRPLANE,Loss of control
19440526-2,Airframe failure;Loss of control,AIRPLANE,Loss of control
19440803-1,Airframe failure;Thunderstorm;Loss of control,AIRPLANE;WEATHER,Loss of control
19441128-1,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19450322-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19450420-2,Airframe failure;Thunderstorm;Loss of control,AIRPLANE;WEATHER,Loss of control
19450602-2,Airframe failure;Turbulence;Loss of control,AIRPLANE;WEATHER,Loss of control
19450701-1,Airframe failure;Loss of control,AIRPLANE,Loss of control
19450725-1,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19450908-0,Airframe failure;Thunderstorm;Loss of control,AIRPLANE;WEATHER,Loss of control
19451119-1,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19460114-2,Airframe failure;Tail failure;Icing;Loss of control,AIRPLANE;WEATHER,Loss of control
19460118-0,Airframe failure;Engine fire;Engine problem;Loss of control;Wing failure,AIRPLANE,Loss of control
19460710-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19460725-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19460727-1,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19460906-1,Airframe failure;Tail failure;Loss of control,AIRPLANE,Loss of control
19480128-0,Airframe failure;Engine fire;Engine problem;Loss of control;Wing failure,AIRPLANE,Loss of control
19480516-0,Airframe failure;Tail failure;Turbulence;Loss of control,AIRPLANE;WEATHER,Loss of control
19480829-0,Airframe failure;Thunderstorm;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19480930-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19490106-0,Airframe failure;Tail failure;Icing;Loss of control,AIRPLANE;WEATHER,Loss of control
19490506-0,Airframe failure;Loss of control;Fuselage failure,AIRPLANE,Loss of control
19490527-0,Airframe failure;Engine fire;Engine problem;Loss of control;Wing failure,AIRPLANE,Loss of control
19491218-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19500321-0,Airframe failure;Tail failure;Loss of control,AIRPLANE,Loss of control
19500530-0,Airframe failure;Turbulence;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19500717-0,Airframe failure;Turbulence;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19500729-0,Airframe failure;Fuel tank explosion;Loss of control;Wing failure,AIRPLANE;FIRE,Loss of control
19501127-1,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19510207-1,Airframe failure;Loss of control;Fuselage failure,AIRPLANE,Loss of control
19510514-0,Engine separation;Airframe failure;Engine problem;Loss of control;Wing failure,AIRPLANE,Loss of control
19510719-0,Airframe failure,AIRPLANE,
19510811-1,Airframe failure;Tail failure;Loss of control,AIRPLANE,Loss of control
19510917-0,Airframe failure;Turbulence;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19520727-1,"Airframe failure;Passenger door failure;Forced landing on runway;Emergency, forced landing",AIRPLANE,"Emergency, forced landing"
19520819-0,Airframe failure;Tail failure;Loss of control,AIRPLANE,Loss of control
19530126-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19530214-0,Airframe failure;Turbulence;Loss of control;Fuselage failure,AIRPLANE;WEATHER,Loss of control
19530329-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19530414-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19530416-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19530502-0,Airframe failure;Turbulence;Loss of control;Fuselage failure,AIRPLANE;WEATHER,Loss of control
19530522-0,Airframe failure;Turbulence;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19530707-1,Airframe failure;Tail failure;Loss of control,AIRPLANE,Loss of control
19530928-0,Airframe failure;Wrong installation of parts;Loss of control;Wing failure,AIRPLANE;MAINTENANCE,Loss of control
19531125-1,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19540110-1,Airframe failure;Loss of control;Fuselage failure,AIRPLANE,Loss of control
19540408-2,Airframe failure;Loss of control;Fuselage failure,AIRPLANE,Loss of control
19540930-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19550205-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19550508-1,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19550804-0,"Airframe failure;Loss of control;Engine (deficient, inspections...);Wing failure",AIRPLANE;MAINTENANCE,Loss of control
19550910-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19550915-0,Airframe failure;Tail failure;Turbulence;Loss of control,AIRPLANE;WEATHER,Loss of control
19551229-0,Airframe failure;Icing;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19560410-0,Flight control surfaces issues;Issue with flap(s);Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19560620-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19570329-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19570407-0,Airframe failure;Inflight fire due to tire failure;Loss of control;Wing failure,AIRPLANE;FIRE,Loss of control
19570417-1,Airframe failure;Turbulence;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19570824-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19570830-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19571121-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19571207-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19571208-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19571218-0,Airframe failure;Tail failure;Loss of control,AIRPLANE,Loss of control
19580709-0,Airframe failure;Loss of control,AIRPLANE,Loss of control
19581202-0,Airframe failure;Wrong installation of parts;Loss of control;Wing failure,AIRPLANE;MAINTENANCE,Loss of control
19590329-1,Airframe failure;Thunderstorm;Loss of control;Fuselage failure,AIRPLANE;WEATHER,Loss of control
19590512-1,Airframe failure;Turbulence;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19590929-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19591104-1,Airframe failure;Engine fire;Engine problem;Loss of control;Wing failure,AIRPLANE,Loss of control
19600317-0,Airframe failure;Turbulence;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19600502-0,Airframe failure;Tail failure;Loss of control,AIRPLANE,Loss of control
19600627-0,Airframe failure;Engine fire;Engine problem;Loss of control;Wing failure,AIRPLANE,Loss of control
19600720-0,Airframe failure;Turbulence;Thunderstorm;Loss of control,AIRPLANE;WEATHER,Loss of control
19601015-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19610510-0,Airframe failure;Sabotage;Loss of control;Fuselage failure,SECURITY;AIRPLANE,Loss of control
19610719-2,Airframe failure;Turbulence;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19611130-1,Airframe failure;Turbulence;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19620522-0,Pressurization problem;Tail failure;Airframe failure;Explosive decompression;Sabotage;Loss of control,SECURITY;AIRPLANE,Loss of control
19620522-1,Airframe failure;Tail failure;Loss of control,AIRPLANE,Loss of control
19620830-0,"Pressurization problem;Airframe failure;Forced landing on runway;Explosive decompression;Emergency, forced landing;Passenger door failure",AIRPLANE,"Emergency, forced landing"
19621123-1,Bird strike;Airframe failure;Collision with ground object;Loss of control;Wing failure,AIRPLANE;COLLISIONS,Loss of control
19630603-0,Airframe failure;Loss of control;Fuselage failure,AIRPLANE,Loss of control
19640715-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19641009-0,Airframe failure;Loss of control,AIRPLANE,Loss of control
19641208-0,Airframe failure;Tail failure;Sabotage;Loss of control,SECURITY;AIRPLANE,Loss of control
19650317-2,Flight control surfaces issues;Issue with flap(s);Airframe failure;Fuselage failure;Loss of control,AIRPLANE,Loss of control
19650324-1,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19650410-0,Airframe failure;Loss of control;Fuselage failure,AIRPLANE,Loss of control
19650620-0,"Pressurization problem;Airframe failure;Forced landing on runway;Emergency, forced landing;Passenger door failure",AIRPLANE,"Emergency, forced landing"
19650708-0,Airframe failure;Tail failure;Sabotage;Loss of control,SECURITY;AIRPLANE,Loss of control
19650812-0,Airframe failure;Engine fire;Engine problem;Loss of control;Wing failure,AIRPLANE,Loss of control
19651004-0,"Engine (deficient, inspections...);Airframe failure;Engine fire;Engine problem;Loss of control;Wing failure",AIRPLANE;MAINTENANCE,Loss of control
19660415-0,"Airframe failure;Cargo door failure;Landing gear issues;Forced landing outside airport;Emergency, forced landing;Gear-up landing",AIRPLANE,"Emergency, forced landing"
19660605-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19660806-0,Airframe failure;Tail failure;Turbulence;Loss of control,AIRPLANE;WEATHER,Loss of control
19660922-1,Airframe failure;Loss of control;Wing failure;Inflight fire,AIRPLANE;FIRE,Loss of control
19661109-1,Airframe failure;Turbulence;Loss of control,AIRPLANE;WEATHER,Loss of control
19670224-0,"Pressurization problem;Airframe failure;Forced landing on runway;Explosive decompression;Emergency, forced landing;Fuselage failure",AIRPLANE,"Emergency, forced landing"
19670305-0,Fuselage failure;Airframe failure;Prop/turbine blade separation;Engine problem;Loss of control,AIRPLANE,Loss of control
19670609-0,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19670623-1,Airframe failure;Loss of control;Wing failure;Inflight fire,AIRPLANE;FIRE,Loss of control
19671105-1,Airframe failure;Engine fire;Engine problem;Loss of control;Wing failure,AIRPLANE,Loss of control
19680115-0,Airframe failure;Icing;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19680308-0,Airframe failure;Turbulence;Loss of control;Wing failure,AIRPLANE;WEATHER,Loss of control
19680408-1,Airframe failure;Loss of control;Wing failure,AIRPLANE,Loss of control
19680430-0,Airframe failure;Turbulence;Loss of control;Fuselage failure,AIRPLANE;WEATHER,Loss of control
